accountnum,mergeto_account
Expected Records,65708
050317636,50317636
050317637,50317637
050317638,50317638
050317639,50317639
050317640,50317640
050317641,50317641
050317642,50317642
050317643,50317643
050317644,50317644
050317645,50317645
050317646,50317646
050317647,50317647
050317648,50317648
050317649,50317649
050317650,50317650
050317651,50317651
050317652,50317652
050317653,50317653
050317654,50317654
050317655,50317655
050317656,50317656
050317657,50317657
050317658,50317658
050317659,50317659
050317660,50317660
050317661,50317661
050317662,50317662
050317663,50317663
050317664,50317664
050317665,50317665
050317666,50317666
050317668,50317668
050317669,50317669
050317670,50317670
050317671,50317671
050317672,50317672
050317673,50317673
050317674,50317674
050317675,50317675
050317676,50317676
050317677,50317677
050317678,50317678
050317679,50317679
050317680,50317680
050317681,50317681
050317682,50317682
050317683,50317683
050317684,50317684
050317684,40310954
050317685,50317685
050317686,50317686
050317687,50317687
050317687,42468160
050317688,50317688
050317689,50317689
050317690,50317690
050317692,50317692
050317693,50317693
050317694,50317694
050317695,50317695
050317696,50317696
050317697,50317697
050317698,50317698
050317699,50317699
050317700,50317700
050317701,50317701
050317702,50317702
050317703,50317703
050317704,50317704
050317705,50317705
050317707,50317707
050317708,50317708
050317709,50317709
050317710,50317710
050317711,50317711
050317712,50317712
050317713,50317713
050317714,50317714
050317715,50317715
050317716,50317716
050317717,50317717
050317718,50317718
050317719,50317719
050317720,50317720
050317721,50317721
050317722,50317722
050317723,50317723
050317725,50317725
050317726,50317726
050317727,50317727
050317728,50317728
050317729,50317729
050317730,50317730
050317731,50317731
050317732,50317732
050317733,50317733
050317734,50317734
050317735,50317735
050317736,50317736
050317737,50317737
050317738,50317738
050317739,50317739
050317740,50317740
050317741,50317741
050317742,50317742
050317743,50317743
050317744,50317744
050317745,50317745
050317746,50317746
050317747,50317747
050317748,50317748
050317749,50317749
050317750,50317750
050317751,50317751
050317752,50317752
050317753,50317753
050317754,50317754
050317755,50317755
050317756,50317756
050317757,50317757
050317758,50317758
050317760,50317760
050317761,50317761
050317762,50317762
050317763,50317763
050317764,50317764
050317765,50317765
050317766,50317766
050317767,50317767
050317768,50317768
050317769,50317769
050317769,40839165
050317770,50317770
050317771,50317771
050317772,50317772
050317773,50317773
050317774,50317774
050317775,50317775
050317776,50317776
050317777,50317777
050317778,50317778
050317779,50317779
050317781,50317781
050317782,50317782
050317783,50317783
050317784,50317784
050317785,50317785
050317786,50317786
050317786,50311545
050317788,50317788
050317789,50317789
050317790,50317790
050317791,50317791
050317792,50317792
050317793,50317793
050317794,50317794
050317795,50317795
050317796,50317796
050317797,50317797
050317798,50317798
050317799,50317799
050317800,50317800
050317801,50317801
050317802,50317802
050317803,50317803
050317804,50317804
050317805,50317805
050317806,50317806
050317807,50317807
050317808,50317808
050317809,50317809
050317810,50317810
050317811,50317811
050317812,50317812
050317813,50317813
050317814,50317814
050317815,50317815
050317816,50317816
050317817,50317817
050317818,50317818
050317819,50317819
050317820,50317820
050317821,50317821
050317822,50317822
050317823,50317823
050317823,40553355
050317824,50317824
050317825,50317825
050317826,50317826
050317827,50317827
050317828,50317828
050317829,50317829
050317830,50317830
050317831,50317831
050317833,50317833
050317834,50317834
050317835,50317835
