catalogcode,name,description,start_date,stop_date,apply_special_shipping,special_shipping_price,currency,allow_coupons
32303,Qumin.G.NB CT 700 Listen to and Understand Great M,Qumin.G.NB CT 700 Listen to and Understand Great Music,02/26/2013,12/31/2099,0,0,GBP,1
32304,Qumin.G.NB CT 1730 Oceanography: Exploring Earth's,Qumin.G.NB CT 1730 Oceanography: Exploring Earth's Final Wil,02/26/2013,12/31/2099,0,0,GBP,1
32305,Qumin.G.NB CT 1280 Physics and Our Universe: How I,Qumin.G.NB CT 1280 Physics and Our Universe: How It All Work,02/26/2013,12/31/2099,0,0,GBP,1
32306,Qumin.G.NB CT 1960 Physiology and Fitness,Qumin.G.NB CT 1960 Physiology and Fitness,02/26/2013,12/31/2099,0,0,GBP,1
32307,Qumin.G.NB CT 9123 The Everyday Guide To Wine,Qumin.G.NB CT 9123 The Everyday Guide To Wine,02/26/2013,12/31/2099,0,0,GBP,1
32308,Qumin.G.NB CT 3231 The Great Tours,Qumin.G.NB CT 3231 The Great Tours,02/26/2013,12/31/2099,0,0,GBP,1
32309,Qumin.G.NB CT 8500 The History of the United State,Qumin.G.NB CT 8500 The History of the United States,02/26/2013,12/31/2099,0,0,GBP,1
32310,Qumin.G.NB CT 1986 The Science of Natural Healing,Qumin.G.NB CT 1986 The Science of Natural Healing,02/26/2013,12/31/2099,0,0,GBP,1
32311,Qumin.G.NB CT 8588 The Skeptic's Guide to American,Qumin.G.NB CT 8588 The Skeptic's Guide to American History,02/26/2013,12/31/2099,0,0,GBP,1
32312,Qumin.G.NB CT 5724 Understanding Investments,Qumin.G.NB CT 5724 Understanding Investments,02/26/2013,12/31/2099,0,0,GBP,1
32313,Qumin.G.NB CT 160 Understanding The Human Body,Qumin.G.NB CT 160 Understanding The Human Body,02/26/2013,12/31/2099,0,0,GBP,1
32314,Qumin.G.NB CT 1810 Understanding the Universe,Qumin.G.NB CT 1810 Understanding the Universe,02/26/2013,12/31/2099,0,0,GBP,1
32315,Qumin.G.NB CT 1411 Joy of Mathematics,Qumin.G.NB CT 1411 Joy of Mathematics,02/26/2013,12/31/2099,0,0,GBP,1
32694,Qumin.G.Display.UK - 1810 Understanding the Univer,Qumin.G.Display.UK - 1810 Understanding the Universe: An Int,03/18/2013,12/31/2099,0,0,GBP,1
32695,Qumin.G.Display.UK - 1219 Earth's Changing Climate,Qumin.G.Display.UK - 1219 Earth's Changing Climate,03/18/2013,12/31/2099,0,0,GBP,1
32696,Qumin.G.Display.UK - 1884 Experiencing Hubble: Und,Qumin.G.Display.UK - 1884 Experiencing Hubble: Understanding,03/18/2013,12/31/2099,0,0,GBP,1
32697,Qumin.G.Display.UK - 810 World War II: A Military ,Qumin.G.Display.UK - 810 World War II: A Military and Social,03/18/2013,12/31/2099,0,0,GBP,1
32698,Qumin.G.Display.UK - 5724 Understanding Investment,Qumin.G.Display.UK - 5724 Understanding Investments,03/18/2013,12/31/2099,0,0,GBP,1
32699,Qumin.G.Display.UK - 1426 Games People Play: Game ,Qumin.G.Display.UK - 1426 Games People Play: Game Theory in,03/18/2013,12/31/2099,0,0,GBP,1
32700,Qumin.G.Display.UK - 1933 Practicing Mindfulness: ,Qumin.G.Display.UK - 1933 Practicing Mindfulness: An Introdu,03/18/2013,12/31/2099,0,0,GBP,1
32701,Qumin.G.Display.UK - 1950 Nutrition Made Clear,Qumin.G.Display.UK - 1950 Nutrition Made Clear,03/18/2013,12/31/2099,0,0,GBP,1
33131,Qumin.G.NB.Gen Business & Economics,Qumin.G.NB.Gen Business & Economics,04/17/2013,12/31/2099,0,0,GBP,0
33132,Qumin.G.NB.Gen Fine Arts & Music,Qumin.G.NB.Gen Fine Arts & Music,04/17/2013,12/31/2099,0,0,GBP,0
33133,Qumin.G.NB.Gen History,Qumin.G.NB.Gen History,04/17/2013,12/31/2099,0,0,GBP,0
33134,Qumin.G.NB.Gen Literature,Qumin.G.NB.Gen Literature,04/17/2013,12/31/2099,0,0,GBP,0
33135,Qumin.G.NB.Gen Philisophy,Qumin.G.NB.Gen Philisophy,04/17/2013,12/31/2099,0,0,GBP,0
33136,Qumin.G.NB.Gen Religion,Qumin.G.NB.Gen Religion,04/17/2013,12/31/2099,0,0,GBP,0
33137,Qumin.G.NB.Gen Science & Mathematics,Qumin.G.NB.Gen Science & Mathematics,04/17/2013,12/31/2099,0,0,GBP,0
33138,Qumin.G.NB.Gen,Qumin.G.NB.Gen,04/17/2013,12/31/2099,0,0,GBP,0
33139,Qumin.G.NB.Comp,Qumin.G.NB.Comp,04/17/2013,12/31/2099,0,0,GBP,0
33177,2013 UK Dec Call Center Upsell Code - NON SALE,2013 UK Dec Call Center Upsell Code - NON SALE,12/01/2013,12/31/2013,0,0,GBP,1
33355,Qumin.G.NB CT 1001 Algebra I,Qumin.G.NB CT 1001 Algebra I,05/01/2013,12/31/2099,0,0,GBP,1
33356,Qumin.G.NB CT 1002 Algebra II,Qumin.G.NB CT 1002 Algebra II,05/01/2013,12/31/2099,0,0,GBP,1
33357,Qumin.G.NB CT 177 Change and Motion: Calculus Made,Qumin.G.NB CT 177 Change and Motion: Calculus Made Clear, 2n,05/01/2013,12/31/2099,0,0,GBP,1
33358,Qumin.G.NB CT 1007 Understanding Calculus: Problem,Qumin.G.NB CT 1007 Understanding Calculus: Problems, Solutio,05/01/2013,12/31/2099,0,0,GBP,1
33359,Qumin.G.NB CT 1426 Games People Play: Game Theory ,Qumin.G.NB CT 1426 Games People Play: Game Theory in Life, B,05/01/2013,12/31/2099,0,0,GBP,1
33360,Qumin.G.NB CT 1333 Chaos,Qumin.G.NB CT 1333 Chaos,05/01/2013,12/31/2099,0,0,GBP,1
33361,Qumin.G.NB CT 1487 Meaning from Data: Statistics M,Qumin.G.NB CT 1487 Meaning from Data: Statistics Made Clear,05/01/2013,12/31/2099,0,0,GBP,1
33362,Qumin.G.NB CT 1474 What Are the Chances? Probabili,Qumin.G.NB CT 1474 What Are the Chances? Probability Made Cl,05/01/2013,12/31/2099,0,0,GBP,1
33363,Qumin.G.NB CT 7868 The Cathedral,Qumin.G.NB CT 7868 The Cathedral,05/01/2013,12/31/2099,0,0,GBP,1
33364,Qumin.G.NB CT 7100 A History of European Art,Qumin.G.NB CT 7100 A History of European Art,05/01/2013,12/31/2099,0,0,GBP,1
33365,Qumin.G.NB CT 5913 Strategic Thinking Skills,Qumin.G.NB CT 5913 Strategic Thinking Skills,05/01/2013,12/31/2099,0,0,GBP,1
33366,Qumin.G.NB CT 5642 Foundations of Economic Prosper,Qumin.G.NB CT 5642 Foundations of Economic Prosperity,05/01/2013,12/31/2099,0,0,GBP,1
33367,Qumin.G.NB CT 550 Economics, 3rd Edition,Qumin.G.NB CT 550 Economics, 3rd Edition,05/01/2013,12/31/2099,0,0,GBP,1
33368,Qumin.G.NB CT 5665 Thinking about Capitalism,Qumin.G.NB CT 5665 Thinking about Capitalism,05/01/2013,12/31/2099,0,0,GBP,1
33369,Qumin.G.NB CT 5181 Understanding Complexity,Qumin.G.NB CT 5181 Understanding Complexity,05/01/2013,12/31/2099,0,0,GBP,1
33370,Qumin.G.NB CT 561 Business Law: Contracts,Qumin.G.NB CT 561 Business Law: Contracts,05/01/2013,12/31/2099,0,0,GBP,1
33371,Qumin.G.NB CT 562 Business Law: Negligence and Tor,Qumin.G.NB CT 562 Business Law: Negligence and Torts,05/01/2013,12/31/2099,0,0,GBP,1
33372,Qumin.G.NB CT 340 History of Ancient Rome,Qumin.G.NB CT 340 History of Ancient Rome,05/01/2013,12/31/2099,0,0,GBP,1
33373,Qumin.G.NB CT 3742 Pompeii: Daily Life in an Ancie,Qumin.G.NB CT 3742 Pompeii: Daily Life in an Ancient Roman C,05/01/2013,12/31/2099,0,0,GBP,1
33374,Qumin.G.NB CT 3340 Classical Archaeology of Ancien,Qumin.G.NB CT 3340 Classical Archaeology of Ancient Greece a,05/01/2013,12/31/2099,0,0,GBP,1
33375,Qumin.G.NB CT 367 World of Byzantium,Qumin.G.NB CT 367 World of Byzantium,05/01/2013,12/31/2099,0,0,GBP,1
33376,Qumin.G.NB CT 3757 Great Battles of the Ancient Wo,Qumin.G.NB CT 3757 Great Battles of the Ancient World,05/01/2013,12/31/2099,0,0,GBP,1
33377,Qumin.G.NB CT 349 Famous Romans,Qumin.G.NB CT 349 Famous Romans,05/01/2013,12/31/2099,0,0,GBP,1
33378,Qumin.G.NB CT 327 Alexander the Great and the Hell,Qumin.G.NB CT 327 Alexander the Great and the Hellenistic Ag,05/01/2013,12/31/2099,0,0,GBP,1
33379,Qumin.G.NB CT 3372 Peloponnesian War,Qumin.G.NB CT 3372 Peloponnesian War,05/01/2013,12/31/2099,0,0,GBP,1
33380,Qumin.G.NB CT 3356 Greek and Persian Wars,Qumin.G.NB CT 3356 Greek and Persian Wars,05/01/2013,12/31/2099,0,0,GBP,1
33381,Qumin.G.NB CT 3910 Vikings,Qumin.G.NB CT 3910 Vikings,05/01/2013,12/31/2099,0,0,GBP,1
33382,Qumin.G.NB CT 8470 History of England from the Tud,Qumin.G.NB CT 8470 History of England from the Tudors to the,05/01/2013,12/31/2099,0,0,GBP,1
33383,Qumin.G.NB CT 3970 Italian Renaissance,Qumin.G.NB CT 3970 Italian Renaissance,05/01/2013,12/31/2099,0,0,GBP,1
33384,Qumin.G.NB CT 885 American Civil War,Qumin.G.NB CT 885 American Civil War,05/01/2013,12/31/2099,0,0,GBP,1
33385,Qumin.G.NB CT 8514 American Revolution,Qumin.G.NB CT 8514 American Revolution,05/01/2013,12/31/2099,0,0,GBP,1
33386,Qumin.G.NB CT 350 History of Ancient Egypt,Qumin.G.NB CT 350 History of Ancient Egypt,05/01/2013,12/31/2099,0,0,GBP,1
33387,Qumin.G.NB CT 6362 Dead Sea Scrolls,Qumin.G.NB CT 6362 Dead Sea Scrolls,05/01/2013,12/31/2099,0,0,GBP,1
33388,Qumin.G.NB CT 6640 The Catholic Church: A History,Qumin.G.NB CT 6640 The Catholic Church: A History,05/01/2013,12/31/2099,0,0,GBP,1
33389,Qumin.G.NB CT 3650 Exploring the Roots of Religion,Qumin.G.NB CT 3650 Exploring the Roots of Religion,05/01/2013,12/31/2099,0,0,GBP,1
33390,Qumin.G.NB CT 408 Ethics of Aristotle,Qumin.G.NB CT 408 Ethics of Aristotle,05/01/2013,12/31/2099,0,0,GBP,1
33391,Qumin.G.NB CT 1942 Secrets of Sleep Science: From ,Qumin.G.NB CT 1942 Secrets of Sleep Science: From Dreams to,05/01/2013,12/31/2099,0,0,GBP,1
33392,Qumin.G.NB CT 8410 Story of Medieval England: From,Qumin.G.NB CT 8410 Story of Medieval England: From King Arth,05/01/2013,12/31/2099,0,0,GBP,1
33881,Qumin.B.NB CT 1005 Mathematics Describing the Real,Qumin.B.NB CT 1005 Mathematics Describing the Real World,05/01/2013,12/31/2099,0,0,GBP,1
